,DATA,RECUPERADOS/DIA,INTERNADOS/DIA,cases_7,cases_14,observation_7,observation_14
369,2021-03-27,334.0,334.0,344,446,1,1
370,2021-03-28,158.0,158.0,230,366,1,1
371,2021-03-29,895.0,895.0,514,905,2,2
372,2021-03-30,1028.0,1028.0,2033,1313,2,2
373,2021-03-31,1067.0,1067.0,839,1114,2,2
374,2021-04-01,1000.0,1000.0,1557,1103,2,2
375,2021-04-02,332.0,332.0,1277,1195,2,2
376,2021-04-03,344.0,344.0,446,757,1,2
377,2021-04-04,230.0,230.0,366,110,1,1
378,2021-04-05,514.0,514.0,905,579,2,2
379,2021-04-06,2033.0,2033.0,1313,1112,2,2
380,2021-04-07,839.0,839.0,1114,415,2,1
381,2021-04-08,1557.0,1557.0,1103,667,2,2
382,2021-04-09,1277.0,1277.0,1195,1211,2,2
383,2021-04-10,446.0,446.0,757,259,2,1
384,2021-04-11,366.0,366.0,110,218,1,1
385,2021-04-12,905.0,905.0,579,593,2,2
386,2021-04-13,1313.0,1313.0,1112,1636,2,2
387,2021-04-14,1114.0,1114.0,415,953,1,2
388,2021-04-15,1103.0,1103.0,667,828,2,2
389,2021-04-16,1195.0,1195.0,1211,718,2,2
390,2021-04-17,757.0,757.0,259,272,1,1
391,2021-04-18,110.0,110.0,218,113,1,1
392,2021-04-19,579.0,579.0,593,108,2,1
393,2021-04-20,1112.0,1112.0,1636,1448,2,2
394,2021-04-21,415.0,415.0,953,1084,2,2
395,2021-04-22,667.0,667.0,828,647,2,2
396,2021-04-23,1211.0,1211.0,718,527,2,2
397,2021-04-24,259.0,259.0,272,466,1,1
398,2021-04-25,218.0,218.0,113,74,1,1
399,2021-04-26,593.0,593.0,108,903,1,2
400,2021-04-27,1636.0,1636.0,1448,953,2,2
401,2021-04-28,953.0,953.0,1084,1020,2,2
402,2021-04-29,828.0,828.0,647,1105,2,2
403,2021-04-30,718.0,718.0,527,497,2,2
404,2021-05-01,272.0,272.0,466,397,1,1
405,2021-05-02,113.0,113.0,74,156,1,1
406,2021-05-03,108.0,108.0,903,629,2,2
407,2021-05-04,1448.0,1448.0,953,1023,2,2
408,2021-05-05,1084.0,1084.0,1020,851,2,2
409,2021-05-06,647.0,647.0,1105,724,2,2
410,2021-05-07,527.0,527.0,497,984,2,2
411,2021-05-08,466.0,466.0,397,463,1,1
412,2021-05-09,74.0,74.0,156,228,1,1
413,2021-05-10,903.0,903.0,629,979,2,2
414,2021-05-11,953.0,953.0,1023,815,2,2
415,2021-05-12,1020.0,1020.0,851,864,2,2
416,2021-05-13,1105.0,1105.0,724,1084,2,2
417,2021-05-14,497.0,497.0,984,951,2,2
418,2021-05-15,397.0,397.0,463,387,1,1
419,2021-05-16,156.0,156.0,228,104,1,1
420,2021-05-17,629.0,629.0,979,787,2,2
421,2021-05-18,1023.0,1023.0,815,687,2,2
422,2021-05-19,851.0,851.0,864,1044,2,2
423,2021-05-20,724.0,724.0,1084,369,2,1
424,2021-05-21,984.0,984.0,951,496,2,2
425,2021-05-22,463.0,463.0,387,255,1,1
426,2021-05-23,228.0,228.0,104,146,1,1
427,2021-05-24,979.0,979.0,787,954,2,2
428,2021-05-25,815.0,815.0,687,1467,2,2
429,2021-05-26,864.0,864.0,1044,812,2,2
430,2021-05-27,1084.0,1084.0,369,941,1,2
431,2021-05-28,951.0,951.0,496,1193,2,2
432,2021-05-29,387.0,387.0,255,349,1,1
433,2021-05-30,104.0,104.0,146,78,1,1
434,2021-05-31,787.0,787.0,954,1011,2,2
435,2021-06-01,687.0,687.0,1467,775,2,2
436,2021-06-02,1044.0,1044.0,812,943,2,2
437,2021-06-03,369.0,369.0,941,889,2,2
438,2021-06-04,496.0,496.0,1193,750,2,2
439,2021-06-05,255.0,255.0,349,533,1,2
440,2021-06-06,146.0,146.0,78,230,1,1
441,2021-06-07,954.0,954.0,1011,756,2,2
442,2021-06-08,1467.0,1467.0,775,905,2,2
443,2021-06-09,812.0,812.0,943,774,2,2
444,2021-06-10,941.0,941.0,889,601,2,2
445,2021-06-11,1193.0,1193.0,750,781,2,2
446,2021-06-12,349.0,349.0,533,289,2,1
447,2021-06-13,78.0,78.0,230,114,1,1
448,2021-06-14,1011.0,1011.0,756,750,2,2
449,2021-06-15,775.0,775.0,905,960,2,2
450,2021-06-16,943.0,943.0,774,781,2,2
451,2021-06-17,889.0,889.0,601,647,2,2
452,2021-06-18,750.0,750.0,781,566,2,2
453,2021-06-19,533.0,533.0,289,220,1,1
454,2021-06-20,230.0,230.0,114,286,1,1
455,2021-06-21,756.0,756.0,750,744,2,2
456,2021-06-22,905.0,905.0,960,706,2,2
457,2021-06-23,774.0,774.0,781,737,2,2
458,2021-06-24,601.0,601.0,647,589,2,2
459,2021-06-25,781.0,781.0,566,606,2,2
460,2021-06-26,289.0,289.0,220,346,1,1
461,2021-06-27,114.0,114.0,286,83,1,1
462,2021-06-28,750.0,750.0,744,473,2,2
463,2021-06-29,960.0,960.0,706,843,2,2
464,2021-06-30,781.0,781.0,737,660,2,2
465,2021-07-01,647.0,647.0,589,579,2,2
466,2021-07-02,566.0,566.0,606,555,2,2
467,2021-07-03,220.0,220.0,346,311,1,1
468,2021-07-04,286.0,286.0,83,117,1,1
469,2021-07-05,744.0,744.0,473,448,2,1
470,2021-07-06,706.0,706.0,843,521,2,2
471,2021-07-07,737.0,737.0,660,672,2,2
472,2021-07-08,589.0,589.0,579,1075,2,2
473,2021-07-09,606.0,606.0,555,970,2,2
474,2021-07-10,346.0,346.0,311,208,1,1
475,2021-07-11,83.0,83.0,117,100,1,1
476,2021-07-12,473.0,473.0,448,398,1,1
477,2021-07-13,843.0,843.0,521,442,2,1
478,2021-07-14,660.0,660.0,672,512,2,2
479,2021-07-15,579.0,579.0,1075,521,2,2
480,2021-07-16,555.0,555.0,970,460,2,1
481,2021-07-17,311.0,311.0,208,188,1,1
482,2021-07-18,117.0,117.0,100,65,1,0
483,2021-07-19,448.0,448.0,398,345,1,1
484,2021-07-20,521.0,521.0,442,464,1,1
485,2021-07-21,672.0,672.0,512,436,2,1
486,2021-07-22,1075.0,1075.0,521,477,2,2
487,2021-07-23,970.0,970.0,460,476,1,2
488,2021-07-24,208.0,208.0,188,259,1,1
489,2021-07-25,100.0,100.0,65,66,0,0
490,2021-07-26,398.0,398.0,345,365,1,1
491,2021-07-27,442.0,442.0,464,408,1,1
492,2021-07-28,512.0,512.0,436,423,1,1
493,2021-07-29,521.0,521.0,477,491,2,2
494,2021-07-30,460.0,460.0,476,323,2,1
495,2021-07-31,188.0,188.0,259,160,1,1
496,2021-08-01,65.0,65.0,66,59,0,0
497,2021-08-02,345.0,345.0,365,343,1,1
498,2021-08-03,464.0,464.0,408,544,1,2
499,2021-08-04,436.0,436.0,423,849,1,2
500,2021-08-05,477.0,477.0,491,-235,2,0
501,2021-08-06,476.0,476.0,323,339,1,1
502,2021-08-07,259.0,259.0,160,613,1,2
503,2021-08-08,66.0,66.0,59,46,0,0
504,2021-08-09,365.0,365.0,343,-157,1,0
505,2021-08-10,408.0,408.0,544,335,2,1
506,2021-08-11,423.0,423.0,849,-556,2,0
507,2021-08-12,491.0,491.0,-235,16,0,0
508,2021-08-13,323.0,323.0,339,-459,1,0
509,2021-08-14,160.0,160.0,613,128,2,1
510,2021-08-15,59.0,59.0,46,25,0,0
511,2021-08-16,343.0,343.0,-157,285,0,1
512,2021-08-17,544.0,544.0,335,284,1,1
513,2021-08-18,849.0,849.0,-556,160,0,1
514,2021-08-19,-235.0,-235.0,16,99,0,1
515,2021-08-20,339.0,339.0,-459,266,0,1
516,2021-08-21,613.0,613.0,128,568,1,2
517,2021-08-22,46.0,46.0,25,855,0,2
518,2021-08-23,-157.0,-157.0,285,-718,1,0
519,2021-08-24,335.0,335.0,284,127,1,1
520,2021-08-25,-556.0,-556.0,160,225,1,1
521,2021-08-26,16.0,16.0,99,-265,1,0
522,2021-08-27,-459.0,-459.0,266,212,1,1
523,2021-08-28,128.0,128.0,568,70,2,1
524,2021-08-29,25.0,25.0,855,14,2,0
525,2021-08-30,285.0,285.0,-718,169,0,1
526,2021-08-31,284.0,284.0,127,500,1,2
527,2021-09-01,160.0,160.0,225,174,1,1
528,2021-09-02,99.0,99.0,-265,249,0,1
529,2021-09-03,266.0,266.0,212,1660,1,2
530,2021-09-04,568.0,568.0,70,81,1,1
531,2021-09-05,855.0,855.0,14,28,0,0
532,2021-09-06,-718.0,-718.0,169,106,1,1
533,2021-09-07,127.0,127.0,500,183,2,1
534,2021-09-08,225.0,225.0,174,411,1,1
535,2021-09-09,-265.0,-265.0,249,128,1,1
536,2021-09-10,212.0,212.0,1660,182,2,1
537,2021-09-11,70.0,70.0,81,50,1,0
538,2021-09-12,14.0,14.0,28,24,0,0
539,2021-09-13,169.0,169.0,106,262,1,1
540,2021-09-14,500.0,500.0,183,327,1,1
541,2021-09-15,174.0,174.0,411,193,1,1
